City,Latitude,Longitude,Country,Cloudiness,Humidity (%),Max Temp (F),Wind Speed (mph),Date
Moses Lake,47.13,-119.28,US,1,39,84.0,8.05,1567820706
Tura,64.27,100.22,RU,0,62,54.44,5.14,1567820708
Jumla,29.28,82.18,NP,58,83,60.95,3.31,1567820709
Sitka,37.17,-99.65,US,0,63,82.0,7.0,1567820709
Quelimane,-17.88,36.89,MZ,75,83,69.8,13.87,1567820709
Sheltozero,61.37,35.37,RU,8,94,49.99,8.63,1567820709
Arman,59.7,150.17,RU,43,60,54.15,4.23,1567820710
Makakilo City,21.35,-158.09,US,40,52,89.6,13.87,1567820710
Saint-Augustin,45.63,-73.98,CA,100,73,64.99,7.36,1567820710
Mahebourg,-20.41,57.7,MU,40,94,71.01,2.24,1567820710
Mae Ramat,16.98,98.52,TH,90,100,75.2,4.7,1567820710
Sakaraha,-22.91,44.53,MG,94,71,59.42,18.19,1567820711
Meulaboh,4.14,96.13,ID,36,79,82.19,10.92,1567820711
Belaya Kholunitsa,58.84,50.85,RU,0,94,48.23,4.23,1567820711
Moose Factory,51.26,-80.61,CA,100,80,42.02,8.23,1567820711
Bar Harbor,44.39,-68.2,US,1,81,55.99,5.82,1567820561
Ewa Beach,21.32,-158.01,US,40,52,89.6,13.87,1567820647
Mazatlan,23.22,-106.42,MX,75,70,88.0,8.05,1567820712
Ujhani,28.0,79.01,IN,29,71,86.24,8.1,1567820712
Paracuru,-3.41,-39.03,BR,75,69,80.6,14.99,1567820712
Vila Franca do Campo,37.72,-25.43,PT,75,72,68.0,5.82,1567820712
Tuatapere,-46.13,167.69,NZ,75,73,50.0,8.01,1567820713
Jalu,29.03,21.55,LY,0,56,74.97,5.26,1567820713
Preobrazheniye,42.9,133.91,RU,100,98,68.44,1.9,1567820713
Hidalgo,26.1,-98.26,US,1,70,89.01,6.93,1567820713
Salalah,17.01,54.1,OM,90,100,78.8,3.36,1567820713
Beringovskiy,63.05,179.32,RU,17,67,51.36,5.75,1567820714
Tazovskiy,67.47,78.7,RU,60,88,49.4,8.19,1567820714
Twentynine Palms,34.14,-116.05,US,1,9,118.4,11.41,1567820714
Muli,28.08,109.56,CN,58,56,82.52,4.56,1567820714
Gaoua,10.33,-3.18,BF,88,95,72.54,3.36,1567820714
Aksu,52.04,76.93,KZ,31,93,42.8,5.23,1567820715
Fukue,35.03,136.69,JP,75,66,93.99,17.22,1567820715
Loreto,-23.27,-57.32,PY,70,47,76.95,4.14,1567820715
Kem,2.68,33.77,UG,93,96,66.55,2.35,1567820715
Marzuq,14.4,46.47,YE,95,28,77.4,3.71,1567820715
Aloleng,16.13,119.78,PH,69,82,83.74,20.6,1567820715
Parana,-7.52,-72.89,BR,69,93,71.23,1.86,1567820716
Palmer,-34.85,139.16,AU,75,71,55.99,14.99,1567820716
Svetlogorsk,53.14,59.15,RU,40,100,44.6,6.71,1567820716
Takaka,-40.86,172.81,NZ,0,71,59.0,8.01,1567820716
Pevek,69.7,170.27,RU,100,88,38.99,9.78,1567820716
Lyubinskiy,55.15,72.69,RU,40,93,51.8,11.18,1567820717
Kumluca,36.37,30.29,TR,0,68,60.59,6.31,1567820717
Valday,57.98,33.25,RU,6,96,47.56,2.59,1567820717
Contamana,-7.35,-75.01,PE,20,86,73.35,2.71,1567820717
Guarapari,-20.67,-40.5,BR,90,82,68.0,6.93,1567820717
Bryukhovetskaya,45.8,39.0,RU,34,85,63.49,8.32,1567820718
Sile,35.56,-106.37,US,40,25,91.4,23.29,1567820718
Trincomalee,8.58,81.23,LK,90,62,84.32,11.03,1567820718
Flin Flon,54.77,-101.88,CA,0,78,45.72,2.73,1567820718
Namatanai,-3.66,152.44,PG,100,80,78.02,19.44,1567820718
Kasulu,-4.57,30.11,TZ,42,51,67.74,10.69,1567820719
Ilulissat,69.22,-51.1,GL,81,69,35.6,2.24,1567820719
Hambantota,6.12,81.12,LK,40,100,78.8,9.17,1567820719
Eisiskes,54.17,25.0,LT,0,87,50.0,1.12,1567820719
Ballina,54.11,-9.15,IE,87,93,54.0,1.01,1567820719
Carballo,43.21,-8.69,ES,0,72,63.0,1.12,1567820720
Lagoa,37.14,-8.45,PT,0,57,75.2,3.36,1567820720
Flinders,-34.58,150.85,AU,0,48,64.0,33.33,1567820720
Mandan,46.83,-100.89,US,1,68,69.8,8.05,1567820720
Kaeo,-35.1,173.78,NZ,5,89,63.0,11.9,1567820720
Kolpashevo,58.31,82.9,RU,0,72,54.27,6.2,1567820721
Antsohihy,-14.88,47.99,MG,0,70,72.35,14.47,1567820721
Danville,37.82,-122.0,US,1,68,80.6,11.41,1567820721
Ulaangom,49.98,92.07,MN,72,36,60.95,5.53,1567820721
Srivardhan,18.03,73.02,IN,100,91,78.66,17.81,1567820721
Robore,-18.33,-59.76,BO,45,39,79.2,4.97,1567820722
Siddipet,18.1,78.85,IN,100,95,71.21,16.06,1567820722
Lensk,60.71,114.91,RU,0,69,54.17,4.92,1567820722
Port Hedland,-20.31,118.58,AU,40,64,73.4,8.05,1567820722
Gilgit,35.92,74.31,PK,1,42,50.4,7.49,1567820665
Machakos,-1.52,37.27,KE,75,88,62.6,2.24,1567820722
Quatre Cocos,-20.21,57.76,MU,40,94,71.01,2.24,1567820723
Broken Hill,-31.97,141.45,AU,40,46,53.6,19.46,1567820723
Comodoro Rivadavia,-45.87,-67.48,AR,0,86,37.4,3.36,1567820723
Linxia,35.6,103.21,CN,5,54,68.49,5.21,1567820723
Varnamo,57.19,14.04,SE,100,87,52.0,8.05,1567820723
Pauini,-7.71,-67.0,BR,33,63,78.32,0.6,1567820724
Pekan,3.49,103.39,MY,75,88,80.6,2.24,1567820724
Lukaya,-0.15,31.87,UG,20,94,69.8,3.36,1567820724
Lyubech,51.7,30.66,UA,27,80,53.82,2.53,1567820724
Oga,46.46,10.35,IT,90,100,46.4,5.08,1567820724
Rocha,-34.48,-54.34,UY,100,97,53.63,8.39,1567820724
Faanui,-16.48,-151.75,PF,3,72,75.08,21.07,1567820725
Nyurba,63.29,118.35,RU,100,87,48.89,7.54,1567820725
Karratha,-20.74,116.85,AU,0,26,79.89,7.72,1567820725
Chernyshevskiy,63.01,112.47,RU,100,74,47.67,6.38,1567820725
Bilgi,38.1,43.26,TR,0,58,55.4,4.7,1567820725
San Patricio,-26.98,-56.83,PY,0,71,71.97,9.13,1567820725
Coihaique,-45.58,-72.07,CL,0,65,41.0,5.82,1567820726
Hami,42.84,93.51,CN,52,17,80.52,6.02,1567820726
Nemuro,43.32,145.57,JP,75,78,71.6,9.17,1567820726
Pangnirtung,66.15,-65.72,CA,0,65,33.18,3.67,1567820726
Narsaq,60.91,-46.05,GL,100,94,51.8,9.17,1567820727
San Jose,14.25,-87.96,HN,90,65,78.8,8.05,1567820727
Tornio,61.12,27.27,FI,20,93,46.4,1.12,1567820727
Wajima,37.4,136.9,JP,75,66,84.2,1.12,1567820727
Olinda,-37.84,145.39,AU,40,71,54.0,24.16,1567820727
Maceio,-9.67,-35.74,BR,40,83,73.4,5.82,1567820619
Saint-Joseph,43.56,6.97,FR,0,93,64.4,4.7,1567820728
Alofi,-19.06,-169.92,NU,37,69,78.8,12.75,1567820728
Chapais,49.78,-74.86,CA,100,75,44.0,6.64,1567820728
Plettenberg Bay,-34.05,23.37,ZA,0,40,57.59,6.26,1567820728
Te Anau,-45.41,167.72,NZ,62,77,40.41,1.3,1567820729
Talwara,31.94,75.88,IN,0,72,85.05,7.27,1567820729
Lahad Datu,5.02,118.33,MY,23,62,87.45,4.63,1567820729
Kokkola,63.84,23.13,FI,33,93,54.0,4.7,1567820729
Port Hawkesbury,45.62,-61.36,CA,100,81,59.0,8.23,1567820595
Anito,12.45,125.29,PH,85,55,90.72,6.98,1567820729
Ibra,22.69,58.55,OM,100,35,86.08,1.97,1567820730
Miles City,46.41,-105.84,US,90,39,78.8,3.36,1567820730
Tatarsk,55.22,75.96,RU,37,87,53.36,13.6,1567820730
Cross Lanes,50.05,-5.22,GB,33,93,55.0,4.7,1567820730
Banda Aceh,5.56,95.32,ID,67,78,82.64,21.45,1567820730
Minsk,53.9,27.56,BY,0,100,48.2,2.24,1567820730
Torbay,47.66,-52.73,CA,100,84,55.99,3.0,1567820731
Cockburn Town,21.46,-71.14,TC,2,80,83.34,13.6,1567820731
Araria,26.13,87.47,IN,0,65,88.74,12.15,1567820731
Pacific Grove,36.62,-121.92,US,1,53,80.01,8.05,1567820682
Maltahohe,-24.83,16.98,NA,0,30,54.45,10.6,1567820731
Prince Rupert,54.32,-130.32,CA,100,77,59.19,2.89,1567820731
Iqaluit,63.75,-68.52,CA,94,75,44.01,8.01,1567820732
Vostok,46.45,135.83,RU,100,81,71.37,2.46,1567820732
Rabo de Peixe,37.8,-25.58,PT,75,72,68.0,5.82,1567820732
Paraiso,-0.03,-51.17,BR,40,83,84.2,12.75,1567820732
Tokur,53.13,132.9,RU,76,93,60.63,3.96,1567820732
Kotma,23.2,81.98,IN,0,76,82.79,5.23,1567820733
Ancud,-41.87,-73.83,CL,75,100,44.6,5.08,1567820733
Bowen,-20.01,148.25,AU,0,17,86.0,12.75,1567820733
Saint-Francois,46.42,3.91,FR,0,75,46.4,2.37,1567820733
Paamiut,61.99,-49.67,GL,100,92,43.13,9.13,1567820734
Biak,-0.91,122.88,ID,100,86,68.55,4.5,1567820734
Avera,33.19,-82.53,US,1,78,80.6,5.03,1567820734
Inza,53.86,46.36,RU,5,89,51.12,1.99,1567820734
Bogande,12.97,-0.14,BF,39,73,79.85,10.63,1567820734
Ikot Ekpene,5.18,7.71,NG,100,97,72.22,1.45,1567820735
Rundu,-17.91,19.77,NA,6,20,77.0,13.87,1567820735
Mangan,27.5,88.54,IN,100,77,65.61,2.33,1567820735
Oranjestad,12.52,-70.03,AW,0,85,82.57,19.35,1567820469
Margate,-43.03,147.26,AU,100,55,48.0,3.0,1567820735
Mandalgovi,45.76,106.27,MN,0,57,55.41,14.99,1567820736
Tortoli,39.93,9.66,IT,5,45,66.2,20.8,1567820736
Alugan,12.22,125.48,PH,85,55,90.72,6.98,1567820736
Navahrudak,53.59,25.82,BY,65,90,49.72,4.54,1567820736
Tucurui,-3.77,-49.67,BR,66,77,76.32,2.35,1567820736
Hualmay,-11.1,-77.61,PE,72,89,59.67,13.18,1567820737
Cap Malheureux,-19.98,57.61,MU,40,94,71.01,2.24,1567820737
Pacasmayo,-7.4,-79.57,PE,54,90,61.4,16.82,1567820737
Piacabucu,-10.41,-36.43,BR,17,86,73.46,11.59,1567820737
Kruisfontein,-34.0,24.73,ZA,5,68,52.4,7.31,1567820737
Ushtobe,45.25,77.98,KZ,0,44,64.86,15.79,1567820737
Ternate,14.29,120.72,PH,40,74,88.0,12.75,1567820738
Nuuk,64.17,-51.74,GL,98,93,42.8,1.12,1567820738
Dunedin,-45.87,170.5,NZ,79,58,48.99,15.99,1567820738
Port Blair,11.67,92.75,IN,75,88,80.6,11.41,1567820729
Yuli,24.82,106.77,CN,37,78,82.05,1.81,1567820738
Yeppoon,-23.13,150.74,AU,12,18,80.6,6.93,1567820739
Emerald,-23.53,148.16,AU,0,15,75.0,13.87,1567820524
Durusu,37.53,40.83,TR,0,52,73.0,3.36,1567820739
Damietta,31.42,31.81,EG,0,69,77.37,4.54,1567820739
Sorland,67.67,12.69,NO,92,71,48.87,8.08,1567820740
Valparaiso,41.47,-87.06,US,90,93,68.0,13.87,1567820740
Baoqing,46.32,132.2,CN,100,80,75.68,5.86,1567820740
